parameter,total_hits_guidelines
UPD_REQ_CNT,1
URZEILE,1
USED_DEC,1
USED_PER,1
USED_PRC,1
USER_CRT,1
USER_DEL,1
USER_FLD,22
USNAM_MKPF,1
USRNAM,1
USR_TOTAL,1
UVK01,1
UVK02,1
UVK03,1
UVK04,1
UVK05,1
UVP01,1
UVP02,1
UVP03,1
UVP04,1
UVP05,1
UVS01,1
UVS02,1
UVS03,1
UVS04,1
UVS05,1
VALID_FROM,1
VALID_TO,1
VALUEFLTRD,1
VBDATE,1
VBDATFM,1
VBDCPFM,1
VBELN_IM,1
VBELP_IM,1
VBENQKEY,1
VBETRANSID,1
VBETRANSLN,1
VBKEY,1
VBLNR,1
VBTIMOFF,1
VBTRANSID,1
VDATE,1
VERS,1
VERSMODE,1
VERSNO,1
VFDAT,1
VIEW,1
VPRSV_CHANGED,1
VPRSV_NEW,1
VPRSV_OLD,1
VPSTA,1
VSDAT,1
VSTAT,1
VSURA,1
VSURB,1
VSZTP,1
VTEXT_BKRS,1
VTEXT_EKRG,1
VTEXT_SPART,1
VTEXT_TERM_BUKRS,1
VTEXT_TERM_VKORG,1
VTEXT_VKORG,1
VTEXT_VTWEG,1
VTIME,1
WAIT_DATE,1
WAIT_TIME,1
WAIT_TRUE,1
WEMPF,1
WEUNB,1
WFCID,1
WHGBTR,1
WITH_MESSAGE,1
WKGBTR,1
WKURS,1
WMENG,1
WRBTR_AG,1
WRKST,1
WTGBTR,1
XABRERR,1
XAUTO,1
XBLNR_MKPF,1
XKONCHK,1
XOBEW,1
XVORL,1
ZAEHK,1
ZAEHLER,1
ZBNKL,1
ZBNKN,1
ZBNKS,1
ZBUKR,1
ZEIAR,1
ZEIFO,1
ZEINR,1
ZEIVR,1
ZLDAT,2
ZNME1,1
ZSTAT,2
ZTERM_BKRS,2
ZTERM_EKRG,1
ZTERM_KNVV,1
ZTERM_NEW,1
ZTERM_OLD,1
ZTERM_VBKD,1
ZTERM_VBRK,1
ZTERM_VKRG,1
ZUKBEW,1
ZUSCH,1
ZUSTD,1
